[0.029s] Invoking command in '/home/teamojasdv/ros2_ws/build/realsense2_camera_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble:/home/teamojasdv/ros2_ws/install/my_detection_package /usr/bin/cmake --build /home/teamojasdv/ros2_ws/build/realsense2_camera_msgs -- -j6 -l6
[0.178s] [ 11%] Built target realsense2_camera_msgs__cpp
[0.182s] [ 25%] Built target realsense2_camera_msgs__rosidl_generator_c
[0.249s] [ 31%] Built target ament_cmake_python_symlink_realsense2_camera_msgs
[0.254s] [ 42%] Built target realsense2_camera_msgs__rosidl_typesupport_introspection_cpp
[0.258s] [ 53%] Built target realsense2_camera_msgs__rosidl_typesupport_fastrtps_cpp
[0.276s] [ 65%] Built target realsense2_camera_msgs__rosidl_typesupport_cpp
[0.325s] [ 76%] Built target realsense2_camera_msgs__rosidl_typesupport_introspection_c
[0.343s] [ 87%] Built target realsense2_camera_msgs__rosidl_typesupport_fastrtps_c
[0.345s] [ 98%] Built target realsense2_camera_msgs__rosidl_typesupport_c
[0.390s] [ 98%] Built target realsense2_camera_msgs
[0.447s] [100%] Built target realsense2_camera_msgs__py
[0.509s] [100%] Built target realsense2_camera_msgs__rosidl_generator_py
[0.564s] [100%] Built target realsense2_camera_msgs__rosidl_typesupport_c__pyext
[0.576s] [100%] Built target realsense2_camera_msgs__rosidl_typesupport_introspection_c__pyext
[0.582s] [100%] Built target realsense2_camera_msgs__rosidl_typesupport_fastrtps_c__pyext
[1.129s] running egg_info
[1.173s] writing realsense2_camera_msgs.egg-info/PKG-INFO
[1.174s] writing dependency_links to realsense2_camera_msgs.egg-info/dependency_links.txt
[1.175s] writing top-level names to realsense2_camera_msgs.egg-info/top_level.txt
[1.351s] reading manifest file 'realsense2_camera_msgs.egg-info/SOURCES.txt'
[1.353s] writing manifest file 'realsense2_camera_msgs.egg-info/SOURCES.txt'
[1.504s] Built target ament_cmake_python_build_realsense2_camera_msgs_egg
[1.533s] Invoked command in '/home/teamojasdv/ros2_ws/build/realsense2_camera_msgs' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble:/home/teamojasdv/ros2_ws/install/my_detection_package /usr/bin/cmake --build /home/teamojasdv/ros2_ws/build/realsense2_camera_msgs -- -j6 -l6
